Equipo Local,Marcador,Equipo Visitante
"GIRONA F.C., SAD",1 - 1 ,REAL MURCIA C.F. SAD
"CORDOBA C.F., SAD",0 - 0 ,"R.C. CELTA DE VIGO, SAD"
"GIMNASTIC DE TARRAGONA, SAD",1 - 0 ,"ELCHE C.F., SAD"
C.D. ALCOYANO,2 - 2 ,"U.D. ALMERIA, SAD"
C.D. GUADALAJARA,0 - 3 ,"REAL VALLADOLID C.F., SAD"
A.D. ALCORCON,2 - 2 ,"C.D. NUMANCIA DE SORIA, SAD"
"C.E. SABADELL F.C., SAD.",1 - 1 ,"U.D. LAS PALMAS, SAD"
F.C. BARCELONA B,2 - 0 ,"XEREZ C.D., S.A.D."
"HERCULES C.F., SAD",2 - 0 ,"S.D. HUESCA, SAD"
"R.C. DEPORTIVO DE LA CORUÑA, SAD",1 - 0 ,VILLARREAL C.F. B
"F.C. CARTAGENA, SAD",3 - 1 ,"R.C.RVO. DE HUELVA, SAD"
Resultados Temporada 2011/2012 - Jornada Nº 22 (Fecha: 29/01/2012),,
Equipo Local,Marcador,Equipo Visitante
"R.C. DEPORTIVO DE LA CORUÑA, SAD",2 - 1 ,"F.C. CARTAGENA, SAD"
"HERCULES C.F., SAD",0 - 2 ,VILLARREAL C.F. B
F.C. BARCELONA B,4 - 2 ,"S.D. HUESCA, SAD"
"C.E. SABADELL F.C., SAD.",2 - 0 ,"XEREZ C.D., S.A.D."
A.D. ALCORCON,3 - 1 ,"U.D. LAS PALMAS, SAD"
C.D. GUADALAJARA,1 - 0 ,"C.D. NUMANCIA DE SORIA, SAD"
C.D. ALCOYANO,0 - 1 ,"REAL VALLADOLID C.F., SAD"
"GIMNASTIC DE TARRAGONA, SAD",1 - 2 ,"U.D. ALMERIA, SAD"
"CORDOBA C.F., SAD",2 - 0 ,"ELCHE C.F., SAD"
"GIRONA F.C., SAD",0 - 1 ,"R.C. CELTA DE VIGO, SAD"
REAL MURCIA C.F. SAD,0 - 3 ,"R.C.RVO. DE HUELVA, SAD"
Resultados Temporada 2011/2012 - Jornada Nº 23 (Fecha: 05/02/2012),,
Equipo Local,Marcador,Equipo Visitante
"R.C.RVO. DE HUELVA, SAD",0 - 1 ,"R.C. DEPORTIVO DE LA CORUÑA, SAD"
"F.C. CARTAGENA, SAD",0 - 3 ,"HERCULES C.F., SAD"
VILLARREAL C.F. B,0 - 0 ,F.C. BARCELONA B
"S.D. HUESCA, SAD",0 - 0 ,"C.E. SABADELL F.C., SAD."
"XEREZ C.D., S.A.D.",2 - 2 ,A.D. ALCORCON
"U.D. LAS PALMAS, SAD",3 - 2 ,C.D. GUADALAJARA
"C.D. NUMANCIA DE SORIA, SAD",2 - 0 ,C.D. ALCOYANO
"REAL VALLADOLID C.F., SAD",4 - 0 ,"GIMNASTIC DE TARRAGONA, SAD"
"U.D. ALMERIA, SAD",2 - 1 ,"CORDOBA C.F., SAD"
"ELCHE C.F., SAD",1 - 0 ,"GIRONA F.C., SAD"
"R.C. CELTA DE VIGO, SAD",1 - 0 ,REAL MURCIA C.F. SAD
Resultados Temporada 2011/2012 - Jornada Nº 22 (Fecha: 29/01/2012),,
Equipo Local,Marcador,Equipo Visitante
"R.C. DEPORTIVO DE LA CORUÑA, SAD",2 - 1 ,"F.C. CARTAGENA, SAD"
"HERCULES C.F., SAD",0 - 2 ,VILLARREAL C.F. B
F.C. BARCELONA B,4 - 2 ,"S.D. HUESCA, SAD"
"C.E. SABADELL F.C., SAD.",2 - 0 ,"XEREZ C.D., S.A.D."
A.D. ALCORCON,3 - 1 ,"U.D. LAS PALMAS, SAD"
C.D. GUADALAJARA,1 - 0 ,"C.D. NUMANCIA DE SORIA, SAD"
C.D. ALCOYANO,0 - 1 ,"REAL VALLADOLID C.F., SAD"
"GIMNASTIC DE TARRAGONA, SAD",1 - 2 ,"U.D. ALMERIA, SAD"
"CORDOBA C.F., SAD",2 - 0 ,"ELCHE C.F., SAD"
"GIRONA F.C., SAD",0 - 1 ,"R.C. CELTA DE VIGO, SAD"
REAL MURCIA C.F. SAD,0 - 3 ,"R.C.RVO. DE HUELVA, SAD"
Resultados Temporada 2011/2012 - Jornada Nº 23 (Fecha: 05/02/2012),,
Equipo Local,Marcador,Equipo Visitante
"R.C.RVO. DE HUELVA, SAD",0 - 1 ,"R.C. DEPORTIVO DE LA CORUÑA, SAD"
"F.C. CARTAGENA, SAD",0 - 3 ,"HERCULES C.F., SAD"
