Jornada 1,,,,,,,,,,,
Osasuna,1 - 0,,Real Madrid,,Reyno de Navarra,,,,19:00,,Gol T / C+ Liga
Espanyol,0 - 1,,Villarreal,,Cornellà-El Prat,,,,21:00,,Canal+
Racing,1 - 1,,Valencia,,El Sardinero,,31 de enero,,21:00,,Gol T / Taquilla 8
Jornada 22,,,,,,,,,,,
Local,Resultado,,Visitante,,Estadio,,Fecha,,Hora,,Directo TV
Athletic,3 - 0,,Sporting,,San Mamés,,5 de febrero,,18:00,,Gol T / C+ Liga
Zaragoza,1 - 1,,Racing,,La Romareda,,,,,,Taquilla 4
Getafe,4 - 1,,Deportivo,,Coliseum Alfonso Pérez,,,,,,Taquilla 5
Almería,3 - 2,,Espanyol,,Juegos Mediterráneos,,,,,,Taquilla 6
Osasuna,1 - 1,,Mallorca,,Reyno de Navarra,,,,,,Taquilla 7
Villarreal,0 - 1,,Levante,,El Madrigal,,,,20:00,,Gol T / Taquilla 8
Barcelona,3 - 0,,Atlético de Madrid,,Camp Nou,,,,22:00,,laSexta / TV3 / TM / TPA7 / IB3
Sevilla,0 - 0,,Málaga,,Ramón Sánchez Pizjuán,,6 de febrero,,17:00,,Gol T / C+ Liga
Real Madrid,4 - 1,,Real Sociedad,,Santiago Bernabéu,,,,19:00,,Gol T / C+ Liga
Valencia,2 - 0,,Hércules,,Mestalla,,,,21:00,,Canal+
Jornada 23,,,,,,,,,,,
Local,Resultado,,Visitante,,Estadio,,Fecha,,Hora,,Directo TV
At. Madrid,1 - 2,,Valencia,,Vicente Calderón,,12 de febrero,,18:00,,Gol T / C+ Liga
Sporting,1 - 1,,Barcelona,,El Molinón,,,,20:00,,Gol T / C+ Liga
Racing,3 - 2,,Sevilla,,El Sardinero,,,,22:00,,laSexta / TPA7 / TM / IB3 / TV3
Hércules,2 - 1,,Zaragoza,,José Rico Pérez,,13 de febrero,,17:00,,Taquilla 5
Málaga,2 - 2,,Getafe,,La Rosaleda,,,,,,Taquilla 6
Levante,1 - 0,,Almería,,Ciutat de València,,,,,,Taquilla 7
Real Sociedad,1 - 0,,Osasuna,,Anoeta,,,,,,Taquilla 8
Deportivo,1 - 0,,Villarreal,,Riazor,,,,19:00,,Gol T / C+ Liga
