Jornada 1,,,,,,
Villarreal B,1 - 0,SD Ponferradina,Ciudad Deportiva,,,
Recreativo,0 - 1,Valladolid,Nuevo Colombino,,,
Real Betis,1 - 4,Elche CF,Benito Villamarín,,,CS / C9 2 / tvG2 / 7RM / ETB 1
CD Tenerife,2 - 1,Rayo Vallecano,Heliodoro Rodríguez López,13 de febrero,12:00,Canal+
Córdoba CF,0 - 0,Celta de Vigo,Nuevo Arcángel,,17:00,Gol T / C+ Liga
Nàstic,2 - 0,UD Salamanca,Nou Estadi,,,
Jornada 25,,,,,,
Local,Resultado,Visitante,Estadio,Fecha,Hora,Directo TV
Girona FC,3 - 1,AD Alcorcón,Montilivi,18 de febrero,21:00,Gol T / C+ Liga
Rayo Vallecano,1 - 1,Nàstic,Teresa Rivero,19 de febrero,16:00,Marca TV
Elche CF,2 - 1,FC Barcelona B,Martínez Valero,,18:00,C9 2 / Esport3 / tvG2
FC Cartagena,1 - 0,CD Numancia,Cartagonova,,,7RM / ETB 1
Xerez CD,1 - 3,Córdoba CF,Chapín,,,CS2 / LaOtra
Celta de Vigo,1 - 0,CD Tenerife,Balaídos,,,TVC
UD Salamanca,1 - 1,SD Huesca,Helmántico,,,ATV
UD Las Palmas,2 - 2,Villarreal B,Gran Canaria,,,
Albacete,1 - 1,Recreativo,Carlos Belmonte,,,CMT
Valladolid,1 - 0,Real Betis,José Zorrilla,20 de febrero,12:00,Canal+
SD Ponferradina,0 - 0,Granada CF,El Toralín,,17:00,Gol T / C+ Liga
Jornada 26,,,,,,
Local,Resultado,Visitante,Estadio,Fecha,Hora,Directo TV
CD Tenerife,2 - 1,Xerez CD,Heliodoro Rodríguez López,25 de febrero,21:00,Gol T / C+ Liga
Nàstic,1 - 2,Celta de Vigo,Nou Estadi,26 de febrero,16:00,Marca TV
CD Numancia,4 - 6,FC Barcelona B,Los Pajaritos,,18:00,
Córdoba CF,2 - 0,FC Cartagena,Nuevo Arcángel,,,
AD Alcorcón,4 - 0,UD Salamanca,Santo Domingo,,,LaOtra
Villarreal B,0 - 1,Girona FC,Ciudad Deportiva,,,C9 2 / Esport3
Granada CF,5 - 2,UD Las Palmas,Nuevo Los Cármenes,,,CS2 / TVC / tvG2 / 7RM / ETB 1
Recreativo,1 - 1,SD Ponferradina,Nuevo Colombino,,,
Valladolid,2 - 0,Elche CF,José Zorrilla,,,
SD Huesca,4 - 1,Rayo Vallecano,El Alcoraz,27 de febrero,12:00,Canal+
Real Betis,2 - 0,Albacete,Benito Villamarín,,17:00,Gol T / C+ Liga
Jornada 27,,,,,,
Local,Resultado,Visitante,Estadio,Fecha,Hora,Directo TV
Elche CF,1 - 0,CD Numancia,Martínez Valero,1 de marzo,20:00,
FC Barcelona B,4 - 1,Córdoba CF,Mini Estadi,,,
FC Cartagena,1 - 0,CD Tenerife,Cartagonova,,,TVC / 7RM
UD Salamanca,1 - 0,Villarreal B,Helmántico,,,
Girona FC,2 - 0,Granada CF,Montilivi,,21:00,Marca TV
Xerez CD,1 - 2,Nàstic,Chapín,2 de marzo,20:00,CS2 / Esport3
