R.C.RVO. DE HUELVA,0 - 0 ,F.C. BARCELONA B
HERCULES C.F.,1 - 0 ,C.E. SABADELL F.C..
R.C. DEPORTIVO DE LA CORUÑA,2 - 1 ,A.D. ALCORCON
F.C. CARTAGENA,0 - 2 ,C.D. GUADALAJARA
VILLARREAL C.F. B,4 - 3 ,C.D. ALCOYANO
S.D. HUESCA,0 - 0 ,GIMNASTIC DE TARRAGONA
XEREZ C.D. S.A.D.,1 - 2 ,CORDOBA C.F.
U.D. LAS PALMAS,3 - 2 ,GIRONA F.C.
C.D. NUMANCIA DE SORIA,1 - 0 ,REAL MURCIA C.F. SAD
REAL VALLADOLID C.F.,1 - 2 ,R.C. CELTA DE VIGO
U.D. ALMERIA,0 - 2 ,ELCHE C.F.
Jornada 28 (Fecha: 11/03/2012),,
Local,Marcador,Visitante
C.E. SABADELL F.C..,0 - 0 ,F.C. BARCELONA B
A.D. ALCORCON,1 - 0 ,HERCULES C.F.
C.D. GUADALAJARA,1 - 2 ,R.C. DEPORTIVO DE LA CORUÑA
C.D. ALCOYANO,2 - 2 ,F.C. CARTAGENA
GIMNASTIC DE TARRAGONA,0 - 1 ,VILLARREAL C.F. B
CORDOBA C.F.,3 - 1 ,S.D. HUESCA
GIRONA F.C.,5 - 3 ,XEREZ C.D. S.A.D.
REAL MURCIA C.F. SAD,1 - 2 ,U.D. LAS PALMAS
R.C. CELTA DE VIGO,5 - 0 ,C.D. NUMANCIA DE SORIA
ELCHE C.F.,1 - 2 ,REAL VALLADOLID C.F.
U.D. ALMERIA,2 - 2 ,R.C.RVO. DE HUELVA
Jornada 29 (Fecha: 18/03/2012),,
Local,Marcador,Visitante
R.C.RVO. DE HUELVA,1 - 1 ,C.E. SABADELL F.C..
F.C. BARCELONA B,3 - 2 ,A.D. ALCORCON
HERCULES C.F.,5 - 0 ,C.D. GUADALAJARA
R.C. DEPORTIVO DE LA CORUÑA,3 - 0 ,C.D. ALCOYANO
F.C. CARTAGENA,1 - 3 ,GIMNASTIC DE TARRAGONA
VILLARREAL C.F. B,1 - 1 ,CORDOBA C.F.
S.D. HUESCA,2 - 1 ,GIRONA F.C.
XEREZ C.D. S.A.D.,3 - 1 ,REAL MURCIA C.F. SAD
U.D. LAS PALMAS,3 - 1 ,R.C. CELTA DE VIGO
C.D. NUMANCIA DE SORIA,3 - 0 ,ELCHE C.F.
REAL VALLADOLID C.F.,1 - 1 ,U.D. ALMERIA
Jornada 31 (Fecha: 25/03/2012),,
Local,Marcador,Visitante
R.C.RVO. DE HUELVA,1 - 2 ,A.D. ALCORCON
C.E. SABADELL F.C..,2 - 2 ,C.D. GUADALAJARA
F.C. BARCELONA B,2 - 1 ,C.D. ALCOYANO
HERCULES C.F.,1 - 3 ,GIMNASTIC DE TARRAGONA
R.C. DEPORTIVO DE LA CORUÑA,2 - 0 ,CORDOBA C.F.
F.C. CARTAGENA,1 - 1 ,GIRONA F.C.
VILLARREAL C.F. B,2 - 0 ,REAL MURCIA C.F. SAD
S.D. HUESCA,1 - 1 ,R.C. CELTA DE VIGO
XEREZ C.D. S.A.D.,0 - 0 ,ELCHE C.F.
U.D. LAS PALMAS,2 - 2 ,U.D. ALMERIA
C.D. NUMANCIA DE SORIA,1 - 4 ,REAL VALLADOLID C.F.
Jornada 32 (Fecha: 01/04/2012),,
Local,Marcador,Visitante
C.D. GUADALAJARA,1 - 2 ,A.D. ALCORCON
C.D. ALCOYANO,2 - 1 ,C.E. SABADELL F.C..
GIMNASTIC DE TARRAGONA,1 - 1 ,F.C. BARCELONA B
CORDOBA C.F.,3 - 1 ,HERCULES C.F.
GIRONA F.C.,1 - 0 ,R.C. DEPORTIVO DE LA CORUÑA
REAL MURCIA C.F. SAD,2 - 1 ,F.C. CARTAGENA
R.C. CELTA DE VIGO,2 - 0 ,VILLARREAL C.F. B
ELCHE C.F.,1 - 2 ,S.D. HUESCA
U.D. ALMERIA,1 - 1 ,XEREZ C.D. S.A.D.
REAL VALLADOLID C.F.,2 - 1 ,U.D. LAS PALMAS
C.D. NUMANCIA DE SORIA,1 - 0 ,R.C.RVO. DE HUELVA
Jornada 33 (Fecha: 08/04/2012),,
Local,Marcador,Visitante
R.C.RVO. DE HUELVA,4 - 2 ,C.D. GUADALAJARA
A.D. ALCORCON,2 - 1 ,C.D. ALCOYANO
C.E. SABADELL F.C..,1 - 0 ,GIMNASTIC DE TARRAGONA
F.C. BARCELONA B,2 - 0 ,CORDOBA C.F.
HERCULES C.F.,4 - 2 ,GIRONA F.C.
R.C. DEPORTIVO DE LA CORUÑA,3 - 1 ,REAL MURCIA C.F. SAD
VILLARREAL C.F. B,2 - 0 ,ELCHE C.F.
S.D. HUESCA,1 - 0 ,U.D. ALMERIA
XEREZ C.D. S.A.D.,0 - 4 ,REAL VALLADOLID C.F.
U.D. LAS PALMAS,1 - 1 ,C.D. NUMANCIA DE SORIA
Jornada 34 (Fecha: 15/04/2012),,
Local,Marcador,Visitante
C.D. ALCOYANO,0 - 1 ,C.D. GUADALAJARA
GIMNASTIC DE TARRAGONA,0 - 2 ,A.D. ALCORCON
CORDOBA C.F.,0 - 0 ,C.E. SABADELL F.C..
GIRONA F.C.,1 - 1 ,F.C. BARCELONA B
REAL MURCIA C.F. SAD,2 - 6 ,HERCULES C.F.
R.C. CELTA DE VIGO,2 - 3 ,R.C. DEPORTIVO DE LA CORUÑA
ELCHE C.F.,2 - 1 ,F.C. CARTAGENA
U.D. ALMERIA,0 - 0 ,VILLARREAL C.F. B
REAL VALLADOLID C.F.,3 - 0 ,S.D. HUESCA
C.D. NUMANCIA DE SORIA,2 - 2 ,XEREZ C.D. S.A.D.
U.D. LAS PALMAS,0 - 0 ,R.C.RVO. DE HUELVA
Jornada 35 (Fecha: 22/04/2012),,
Local,Marcador,Visitante
R.C.RVO. DE HUELVA,1 - 3 ,C.D. ALCOYANO
C.D. GUADALAJARA,1 - 0 ,GIMNASTIC DE TARRAGONA
A.D. ALCORCON,2 - 0 ,CORDOBA C.F.
C.E. SABADELL F.C..,2 - 3 ,GIRONA F.C.
F.C. BARCELONA B,1 - 0 ,REAL MURCIA C.F. SAD
HERCULES C.F.,1 - 0 ,R.C. CELTA DE VIGO
R.C. DEPORTIVO DE LA CORUÑA,4 - 3 ,ELCHE C.F.
F.C. CARTAGENA,1 - 1 ,U.D. ALMERIA
VILLARREAL C.F. B,0 - 1 ,REAL VALLADOLID C.F.
S.D. HUESCA,2 - 1 ,C.D. NUMANCIA DE SORIA
XEREZ C.D. S.A.D.,2 - 0 ,U.D. LAS PALMAS
Jornada 36 (Fecha: 29/04/2012),,
Local,Marcador,Visitante
GIMNASTIC DE TARRAGONA,2 - 0 ,C.D. ALCOYANO
